product_name,brand_parent_company,product_brand,product_type,marketed_gender,retailer,size,size_measurement,count,price,price_per_unit,url,ingrediants
Degree Antiperspirant Deodorant Stick Shower Clean For Sweat and Odor Protection 24-Hour Protection,Unilever,Degree,Deodorant,F,CVS,2.6,oz,1,5.49,2.111538462,https://www.cvs.com/shop/degree-women-shower-clean-dry-protection-antiperspirant-deodorant-prodid-1011112,
"Degree Men Sport 48 Hour Protection Antiperspirant Deodorant Stick, 2.7 OZ",Unilever,Degree,Deodorant,M,CVS,2.7,oz,1,5.49,2.033333333,https://www.cvs.com/shop/degree-men-original-protection-sport-antiperspirant-deodorant-2-7-oz-prodid-1011147,aluminum zirconium tetrachlorohydrex gly (18.2%)
"Dove Advanced Care Antiperspirant Deodorant, Cool Essentials, 2.6 OZ",Unilever,Dove,Deodorant,F,CVS,2.6,oz,1,6.99,2.688461538,https://www.cvs.com/shop/dove-advanced-care-antiperspirant-deodorant-2-6-oz-prodid-1011166,aluminum zirconium tetrachlorohydrex gly (15.2%)
"Dove Men+Care 48 Hour Sweat and Body Odor Protection Clean Comfort Antiperspirant Deodorant Non Irritant, 2.7 oz, Twin Pack",Unilever,Dove,Deodorant,M,CVS,2.7,oz,2,15.49,2.868518519,https://www.cvs.com/shop/dove-men-care-48-hour-sweat-and-body-odor-protection-clean-comfort-antiperspirant-deodorant-non-irritant-2-7-oz-twin-pack-prodid-2620110,
"Suave Professionals Moroccan Infusion Shine Shampoo, 12.6 OZ",Unilever,Suave,Hair Care,F,CVS,12.6,oz,1,4.49,0.356349206,https://www.cvs.com/shop/suave-professionals-moroccan-infusion-shine-shampoo-12-6-oz-prodid-1014926,"water (aqua), sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, glycol distearate, dimethiconol, glycerin, fragrance (parfum), carbomer, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, citric acid, ppg-9, tetrasodium edta, dmdm hydantoin, peg-45m, prunus amygdalus dulcis (sweet almond) oil, argania spinosa kernel oil, cocos nucifera (coconut) oil, methylchloroisothiazolinone, methylisothiazolinone, red 33 (ci 17200), yellow 5 (19140)"
Suave Men Ocean Charge 2-in-1 Shampoo and Conditioner,Unilever,Suave,Hair Care,M,CVS,12.6,oz,1,3.79,0.300793651,https://www.cvs.com/shop/suave-men-ocean-charge-2-in-1-shampoo-and-conditioner-prodid-1014950,"water (aqua), sodium laureth sulfate, cocamidopropyl betaine, dimethiconol, sodium chloride, fragrance (parfum), carbomer, glycol distearate, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, tetrasodium edta, dmdm hydantoin, citric acid, ppg-9, panthenol, methylchloroisothiazolinone, methylisothiazolinone, blue 1 (ci 42090), red 33 (ci 17200)"
TIGI Bed Head Fully Loaded Massive Volume Shampoo - 8.45 oz Shampoo,Unilever,TIGI,Hair Care,F,Walmart,8.45,oz,1,15.5,1.834319527,https://www.walmart.com/ip/TIGI-Bed-Head-Fully-Loaded-Massive-Volume-Shampoo-8-45-oz-Shampoo/347913740,
TIGI Bed Head for Men Wise Up Scalp Shampoo - 8.45 oz Shampoo,Unilever,TIGI,Hair Care,M,Walmart,8.45,oz,1,15,1.775147929,https://www.walmart.com/ip/TIGI-Bed-Head-for-Men-Wise-Up-Scalp-Shampoo-8-45-oz-Shampoo/138129262,"water, aqua, eau, sodium laureth sulfate, cocamidopropyl betaine, acrylates copolymer, dimethiconol, phenoxyethanol, dimethicone, fragrance, parfum, sodium chloride, caffeine, charcoal powder, guar hydroxypropyltrimonium chloride, citric acid, zinc pyrithione, zinc sulfate, laureth-23, tea-dodecylbenzenesulfonate, sodium benzoate, poloxamer 407, laureth-4, methylisothiazolinone, sodium polynaphthalenesulfonate, peg-4, xanthan gum, cellulose gum, dmdm hydantoin, ppg-9, butylphenyl methylpropional, geraniol, hexyl cinnamal, limonene, linalool, blue 1, ci 42090, red 33, ci 17200, yellow 5, ci 19140,"
"Head & Shoulders Supreme Shampoo, Soothe and Strengthen, 11.8 Fl Oz",Proctor & Gamble,Head & Shoulders,Hair Care,F,Walmart,11.8,oz,1,8.97,0.760169492,https://www.walmart.com/ip/Head-and-Shoulders-Supreme-Shampoo-Soothe-and-Strengthen-11-8-Fl-Oz/649641793,pyrithione zinc 1%
"Head & Shoulders Dandruff Shampoo, Old Spice Swagger, 12.8 fl oz",Proctor & Gamble,Head & Shoulders,Hair Care,M,Walmart,12.8,oz,1,5.87,0.45859375,https://www.walmart.com/ip/Head-Shoulders-Dandruff-Shampoo-Old-Spice-Swagger-12-8-fl-oz/767895479,pyrithione zinc 1%
